100,0,1,2,3,4,DETECTION,PREDICTION
1787,4,1,2,0,0,16,20
1788,4,2,1,0,0,16,16
1789,4,1,2,0,0,16,20
1790,4,2,1,0,0,16,16
1791,4,1,2,0,0,16,16
1792,4,2,1,0,0,16,16
1793,4,1,2,0,0,16,16
1794,4,2,1,0,0,16,16
1795,4,1,2,0,0,16,16
1796,4,2,2,0,0,16,16
1797,4,1,2,1,0,20,16
1798,4,2,2,1,0,20,16
1799,4,1,2,2,0,20,16
1800,4,1,2,1,1,20,16
1801,4,0,2,2,0,16,20
1802,4,0,2,1,1,20,16
1803,4,0,2,2,0,16,20
1804,4,0,2,1,1,20,20
1805,4,0,2,2,0,16,20
1806,4,0,2,1,1,20,20
1807,4,0,2,2,0,16,20
1808,4,0,2,2,1,20,20
1809,4,0,2,3,0,16,20
1810,4,0,2,3,1,20,20
1811,4,0,2,4,0,16,20
1812,4,0,1,4,1,20,20
1813,4,0,2,3,0,16,20
1814,4,0,1,3,1,20,20
1815,4,0,2,2,0,16,20
1816,4,0,1,2,1,20,20
1817,4,0,2,1,0,16,20
1818,4,0,1,1,1,20,20
1819,4,0,2,0,0,16,20
1820,4,0,1,0,1,16,16
1821,4,0,2,0,0,16,20
1822,4,0,1,0,1,16,16
1823,4,0,2,0,0,16,16
1824,4,0,1,0,1,16,16
1825,4,0,2,0,0,16,16
1826,4,0,1,0,1,16,16
1827,4,0,2,0,0,16,16
1828,4,0,2,0,1,16,16
1829,4,0,2,1,0,16,16
1830,4,0,2,1,1,20,16
1831,4,0,2,2,0,16,16
1832,4,1,2,1,0,20,16
1833,4,1,2,2,0,20,20
1834,4,2,2,1,0,20,16
1835,4,1,2,2,0,20,20
1836,4,2,2,1,0,20,16
1837,4,1,2,2,0,20,20
1838,4,2,2,1,0,20,16
1839,4,1,2,2,0,20,20
1840,4,2,2,2,0,20,16
1841,4,1,2,3,0,20,20
1842,4,2,2,3,0,20,16
1843,4,1,2,4,0,20,20
1844,4,2,1,4,0,20,16
1845,4,1,2,3,0,20,20
1846,4,2,1,3,0,20,16
1847,4,1,2,2,0,20,20
1848,4,1,1,2,1,20,16
1849,4,0,2,1,0,16,20
1850,4,0,1,1,1,20,16
1851,4,0,2,0,0,16,20
1852,4,0,1,0,1,16,20
1853,4,0,2,0,0,16,20
1854,4,0,1,0,1,16,16
1855,4,0,2,0,0,16,16
1856,4,0,1,0,1,16,16
1857,4,0,2,0,0,16,16
1858,4,0,1,0,1,16,16
1859,4,0,2,0,0,16,16
1860,4,0,2,0,1,16,16
1861,4,0,2,1,0,16,16
1862,4,0,2,1,1,20,16
1863,4,0,2,2,0,16,16
1864,4,0,2,1,1,20,20
1865,4,0,2,2,0,16,20
1866,4,0,2,1,1,20,20
1867,4,0,2,2,0,16,20
1868,4,0,2,1,1,20,16
1869,4,0,2,2,0,16,20
1870,4,0,2,1,1,20,16
1871,4,0,2,2,0,16,20
1872,4,0,2,2,1,20,16
1873,4,0,2,3,0,16,20
1874,4,0,2,3,1,20,16
1875,4,0,2,4,0,16,20
1876,4,0,1,4,1,20,16
1877,4,0,2,3,0,16,20
1878,4,0,1,3,1,20,16
1879,4,0,2,2,0,16,20
1880,4,1,1,2,0,20,16
1881,4,1,2,1,0,20,20
1882,4,2,1,1,0,20,16
1883,4,1,2,0,0,16,20
