100,0,1,2,3,4,DETECTION,PREDICTION
1001,4,4,4,4,4,20,20
1002,4,4,4,4,4,20,20
1003,4,4,4,4,4,20,20
1004,4,4,4,4,4,20,16
1005,4,4,4,4,4,20,16
1006,4,4,4,4,4,20,16
1007,4,3,4,4,4,20,16
1008,4,3,4,4,4,20,16
1009,4,2,4,4,4,20,16
1010,4,2,4,4,4,20,16
1011,4,1,4,4,4,20,16
1012,4,1,4,4,4,20,20
1013,4,0,4,4,4,20,16
1014,4,0,4,4,4,20,20
1015,4,0,4,4,4,20,16
1016,4,0,4,4,4,20,20
1017,4,0,4,4,4,20,16
1018,4,0,4,4,4,20,20
1019,4,0,4,4,4,20,16
1020,4,1,4,4,3,20,20
1021,4,1,4,4,3,20,16
1022,4,2,4,4,2,20,20
1023,4,1,4,4,2,20,16
1024,4,2,4,4,1,20,20
1025,4,1,4,4,1,20,16
1026,4,2,4,4,0,20,20
1027,4,1,4,3,0,20,16
1028,4,2,4,3,0,20,20
1029,4,1,4,2,0,20,20
1030,4,2,4,2,0,20,20
1031,4,1,4,1,0,20,20
1032,4,2,4,1,0,20,16
1033,4,1,4,0,0,16,16
1034,4,2,4,0,0,16,16
1035,4,1,4,0,0,16,16
1036,4,1,4,0,0,16,16
1037,4,0,4,0,0,16,16
1038,4,0,4,0,0,16,16
1039,4,0,4,1,0,16,16
1040,4,0,4,1,0,16,16
1041,4,0,4,2,1,20,16
1042,4,0,4,1,0,16,16
1043,4,0,4,2,1,20,16
1044,4,0,4,1,0,16,20
1045,4,0,4,2,1,20,16
1046,4,0,4,1,0,16,16
1047,4,0,4,2,1,20,16
1048,4,0,4,1,0,16,20
1049,4,0,4,2,1,20,16
1050,4,0,4,1,0,16,20
1051,4,0,4,2,1,20,16
1052,4,0,4,1,0,16,16
1053,4,0,4,2,1,20,16
1054,4,0,4,1,0,16,16
1055,4,0,3,2,1,20,16
1056,4,0,3,1,0,16,16
1057,4,1,2,2,0,20,16
1058,4,1,2,1,0,20,16
1059,4,2,1,2,0,20,16
1060,4,1,1,1,0,20,16
1061,4,2,0,2,0,16,16
1062,4,1,0,1,0,16,16
1063,4,2,0,2,0,16,16
1064,4,1,0,1,0,16,20
1065,4,2,0,2,0,16,20
1066,4,1,0,2,0,16,20
1067,4,2,0,3,0,16,20
1068,4,1,0,3,0,16,20
1069,4,2,0,4,0,16,20
1070,4,1,0,4,0,16,20
1071,4,2,0,4,0,16,20
1072,4,1,0,4,0,16,20
1073,4,1,0,4,1,20,20
1074,4,0,0,4,0,16,20
1075,4,0,0,3,1,16,20
1076,4,0,0,3,0,16,20
1077,4,0,1,2,1,20,20
1078,4,0,1,2,0,16,20
1079,4,0,2,1,1,20,20
1080,4,0,1,1,0,16,20
1081,4,0,2,0,1,16,20
1082,4,0,1,0,0,16,20
1083,4,0,2,0,1,16,20
1084,4,0,1,0,0,16,20
1085,4,0,2,0,1,16,20
1086,4,0,1,0,0,16,16
1087,4,0,2,0,1,16,16
1088,4,0,1,0,0,16,16
1089,4,1,2,0,0,16,16
1090,4,1,1,0,0,16,16
1091,4,2,2,0,0,16,16
1092,4,1,2,0,0,16,20
1093,4,2,2,1,0,20,16
1094,4,1,2,1,0,20,16
1095,4,2,2,2,0,20,16
1096,4,1,2,1,0,20,20
1097,4,2,2,2,0,20,16
1098,4,1,2,1,0,20,20
1099,4,2,2,2,0,20,16
1100,4,1,2,1,0,20,20
1101,4,2,2,2,0,20,16
1102,4,1,2,1,0,20,20
1103,4,2,2,2,0,20,16
1104,4,1,2,2,0,20,20
1105,4,2,2,3,0,20,16
1106,4,1,2,3,0,20,20
1107,4,2,2,4,0,20,16
1108,4,1,1,4,0,20,20
1109,4,2,2,3,0,20,20
1110,4,1,1,3,0,20,20
1111,4,2,2,2,0,20,20
1112,4,1,1,2,0,20,20
1113,4,2,2,1,0,20,20
1114,4,1,1,1,0,20,20
1115,4,2,2,0,0,16,20
1116,4,1,1,0,0,16,20
1117,4,2,2,0,0,16,20
1118,4,1,1,0,0,16,16
1119,4,2,2,0,0,16,16
1120,4,1,1,0,0,16,16
1121,4,1,2,0,1,20,16
1122,4,0,1,0,0,16,16
1123,4,0,2,0,1,16,16
1124,4,0,2,0,0,16,16
1125,4,0,2,1,1,20,16
1126,4,0,2,1,0,16,16
1127,4,0,2,2,1,20,16
1128,4,0,2,1,0,16,20
1129,4,0,2,2,1,20,20
1130,4,0,2,1,0,16,20
1131,4,0,2,2,1,20,20
1132,4,0,2,1,0,16,20
1133,4,0,2,2,1,20,20
1134,4,0,2,1,0,16,20
1135,4,0,2,2,1,20,20
1136,4,0,2,2,0,16,20
1137,4,1,2,3,0,20,20
1138,4,1,2,3,0,20,20
1139,4,2,2,4,0,20,20
1140,4,1,1,4,0,20,20
1141,4,2,2,3,0,20,16
1142,4,1,1,3,0,20,20
1143,4,2,2,2,0,20,16
1144,4,1,1,2,0,20,20
1145,4,2,2,1,0,20,16
1146,4,1,1,1,0,20,20
1147,4,2,2,0,0,16,16
1148,4,1,1,0,0,16,20
1149,4,2,2,0,0,16,16
1150,4,1,1,0,0,16,16
1151,4,2,2,0,0,16,16
1152,4,1,1,0,0,16,16
1153,4,2,2,0,0,16,16
1154,4,1,1,0,0,16,16
1155,4,2,2,0,0,16,16
1156,4,1,2,0,0,16,16
1157,4,2,2,1,0,20,16
1158,4,1,2,1,0,20,16
1159,4,2,2,2,0,20,16
1160,4,1,2,1,0,20,20
1161,4,2,2,2,0,20,20
