4,7,2,8,12,7,2,11,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,4,17,7,6,18,20,8,2,2,17,11,9,9,3,12,7,0,0,0,1,0,0,0,1,1,25,15,12,14,13,4,10,0,46,44,66,71,15,21,12,4,0,0,0,0,0,2,2,3,14,19,21,15,7,13,10,28,50,58,35,100,72,78,21,3,1,1,1,1,3,0,0,6,3,17,52,16,35,44,34,42,53,72,61,60,71,60,27,11,4,2,4,0,0,2,0,19,24,14,24,15,32,19,32,27,20,33,50,52,57,57,23,14,6,2,0,0,2,6,3,31,20,14,10,19,23,18,8,14,23,19,31,40,30,33,21,11,3,0,0,0,0,0,3,52,12,12,13,27,25,26,42,13,25,19,9,14,32,35,14,12,0,0,0,0,0,0,14,50,27,5,8,11,31,23,24,14,11,7,16,22,19,21,11,4,0,0,0,1,0,0,28,28,33,18,10,2,9,22,23,30,20,16,17,21,15,12,8,0,0,0,0,0,0,2,26,7,41,14,12,3,1,9,6,10,10,7,13,7,4,1,0,0,0,0,0,0,1,3,1,0,51,21,17,5,4,5,7,4,2,1,2,1,1,0,0,0,0,0,6,1,3,0,4,0,51,26,15,10,9,2,0,2,0,4,6,5,6,0,0,15,6,2,2,1,1,0,12,0,29,38,12,24,8,7,7,2,3,0,2,1,0,3,0,2,1,14,1,1,0,0,11,6,15,40,28,19,16,10,9,10,5,4,1,2,1,10,2,4,7,3,1,0,0,0,11,14,1,10,46,42,26,14,7,7,7,4,3,4,2,6,2,7,7,1,0,0,0,0,0,11,210
5,3,6,15,14,7,16,3,13,13,8,5,1,10,6,2,0,0,0,0,0,1,0,4,8,4,15,8,10,13,1,7,14,14,15,15,25,19,8,7,2,0,0,0,0,0,0,1,8,9,10,5,25,24,44,17,60,59,86,94,39,65,28,12,6,0,0,0,0,0,0,5,7,16,27,23,22,25,16,38,64,64,46,100,62,42,21,7,2,2,1,0,1,0,1,4,16,18,33,11,28,25,27,44,39,68,59,55,27,10,6,7,0,0,0,0,0,0,1,34,32,16,26,8,30,21,12,16,11,18,25,29,18,22,3,2,2,0,0,0,2,3,2,45,35,14,12,18,17,21,10,16,5,4,4,18,6,8,4,3,3,0,0,0,0,0,7,40,21,6,8,19,31,15,19,10,5,6,1,3,9,5,1,3,0,0,0,0,0,0,41,29,12,4,12,10,15,13,16,10,8,5,9,10,9,3,2,2,0,0,0,0,0,1,39,10,15,13,13,3,1,3,5,8,9,7,4,5,1,1,1,1,0,0,0,0,0,1,37,3,20,15,10,2,3,5,1,0,3,5,2,2,8,0,0,0,0,0,1,0,0,0,28,0,43,23,20,2,0,2,7,6,0,4,2,0,1,0,0,0,0,1,1,2,0,4,29,0,47,23,19,3,5,2,0,0,0,5,2,1,3,1,0,11,0,2,1,1,0,10,30,0,29,44,29,20,5,1,7,0,4,0,2,0,0,0,0,0,1,1,0,0,0,4,15,0,8,50,29,27,13,7,12,8,8,2,2,0,0,0,0,3,0,0,2,0,0,2,7,1,4,12,45,42,24,10,0,4,6,0,2,1,1,4,2,0,0,0,0,0,0,1,2,3,210
8,11,16,50,8,13,22,27,30,19,16,8,2,16,16,8,2,2,0,0,0,0,0,5,8,2,27,38,8,25,8,22,16,19,25,13,8,16,16,11,2,0,0,0,0,0,0,0,19,11,33,30,19,25,72,19,72,44,66,44,2,88,33,13,11,0,0,0,2,0,0,2,2,25,52,80,88,80,52,100,38,61,13,47,52,72,63,27,30,16,2,0,0,0,0,5,36,38,61,41,61,38,25,27,16,13,22,36,30,11,16,2,16,8,11,5,5,0,0,2,66,19,30,30,19,36,16,25,5,19,19,33,19,30,5,11,5,0,0,11,5,2,2,2,22,19,16,27,5,8,11,16,8,13,8,11,11,11,5,2,0,0,0,0,2,0,5,16,25,8,2,0,11,25,22,13,8,11,13,16,13,5,2,0,0,0,0,0,0,0,2,47,19,0,13,8,16,27,5,5,0,0,11,5,11,2,5,0,0,0,0,0,0,0,13,88,22,2,19,27,19,36,19,22,2,2,0,5,2,0,0,0,0,0,0,0,0,5,52,36,22,8,30,25,13,27,22,11,11,5,2,2,2,0,0,0,5,0,0,0,0,8,72,2,36,2,11,13,16,19,8,22,0,5,2,0,2,0,0,2,0,0,0,5,2,8,63,0,25,30,25,19,16,19,11,11,0,2,8,8,2,11,0,36,2,0,2,0,0,5,80,0,8,52,47,33,41,22,27,8,13,2,0,2,2,5,2,0,0,13,0,2,0,8,33,0,13,5,27,27,41,36,13,11,11,11,5,5,0,0,5,2,2,0,2,0,0,5,13,8,5,0,5,33,16,25,27,13,8,5,5,2,2,5,2,2,2,0,2,0,2,2,0,8,210
14,3,10,25,10,7,3,7,0,3,7,0,0,0,3,3,3,3,0,0,0,3,0,0,3,7,14,39,10,14,7,21,17,14,14,10,14,14,10,0,3,0,0,0,0,3,0,0,10,3,3,10,25,17,35,7,14,17,14,3,3,10,7,0,0,0,0,17,0,0,0,0,25,10,28,60,53,25,14,32,10,17,3,21,17,28,17,0,10,14,10,14,7,3,0,0,17,32,50,25,50,21,28,46,39,21,21,17,7,17,25,10,3,3,7,28,7,0,0,0,35,17,17,7,35,42,25,25,14,10,7,10,21,10,0,7,0,0,0,10,10,3,3,0,32,28,7,17,3,3,3,0,0,3,10,10,0,0,3,0,0,0,0,0,0,0,0,3,21,25,14,14,17,21,14,0,7,3,3,10,3,7,0,7,0,0,0,14,0,0,3,0,28,42,25,14,14,10,14,10,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,60,89,57,17,10,21,25,14,17,3,3,10,3,3,0,0,0,0,0,0,0,3,7,3,67,100,14,10,14,17,14,10,14,7,7,3,7,3,0,0,0,7,0,3,3,3,3,53,0,75,14,3,17,10,7,21,3,0,10,14,0,3,3,0,3,0,0,17,3,3,3,14,0,46,3,14,0,10,10,7,0,7,10,10,7,3,7,0,25,7,3,3,0,3,0,10,0,28,35,14,14,25,3,14,0,7,0,7,3,0,0,0,0,7,7,7,10,0,3,14,7,7,14,39,25,7,14,21,14,10,3,3,3,7,3,0,10,7,3,10,3,0,3,3,14,7,14,10,35,17,14,28,14,0,0,0,0,3,0,0,3,3,3,0,0,0,0,3,0,210
21,5,4,6,8,6,10,9,4,14,0,1,0,0,1,3,0,0,1,0,0,1,0,0,37,7,8,1,11,19,23,10,2,13,7,8,9,2,8,3,0,1,0,0,0,0,1,0,33,14,12,9,19,20,21,5,6,2,28,17,14,15,11,12,7,5,2,0,1,0,2,0,29,16,16,14,25,25,11,18,29,13,46,63,94,86,51,57,12,9,1,1,0,0,0,1,14,9,16,20,33,55,28,43,2,13,59,42,82,89,46,100,46,6,5,4,3,0,0,1,19,7,12,25,70,33,36,61,20,21,40,43,88,90,90,61,45,4,1,1,3,4,2,1,34,10,26,30,18,13,23,33,51,37,11,38,22,16,37,50,26,8,0,0,2,1,0,4,32,17,30,22,12,17,32,18,39,1,33,28,29,40,53,50,17,8,5,0,1,2,5,3,32,23,22,8,20,10,48,21,17,6,26,20,13,38,30,18,9,7,0,2,0,1,2,0,56,32,9,19,22,9,33,27,19,23,13,11,8,14,20,27,8,3,0,1,0,1,1,1,36,32,13,17,6,23,25,33,31,34,9,10,19,16,18,17,1,3,1,2,2,0,0,2,58,29,38,21,9,6,10,29,44,23,22,13,29,26,10,10,4,1,0,0,1,0,0,3,38,39,46,11,8,1,7,3,9,3,10,8,14,4,6,3,0,0,0,0,1,0,2,5,40,59,59,28,17,12,8,11,11,4,0,2,5,4,3,4,0,0,0,2,7,5,2,2,17,30,54,25,20,20,7,13,9,2,4,4,2,7,0,0,0,7,6,7,2,2,2,2,4,13,55,51,25,36,13,13,15,5,5,1,2,1,11,4,1,7,14,4,4,0,0,3,210
6,8,2,9,18,3,5,3,9,10,0,1,1,1,2,0,1,0,0,0,0,0,0,0,17,6,4,1,9,14,17,5,6,9,2,3,6,0,5,1,0,0,0,0,0,0,0,0,12,10,7,9,7,6,12,5,7,4,7,2,1,2,3,5,6,4,2,0,2,0,2,0,12,9,8,15,20,14,13,13,34,29,42,38,56,53,28,25,9,13,0,0,0,0,0,0,5,5,13,27,32,38,27,53,24,51,80,53,100,91,41,40,12,9,5,4,1,0,0,1,8,5,24,23,62,29,32,54,28,31,39,40,67,59,42,14,14,3,1,1,0,0,1,0,11,18,29,30,15,24,20,45,31,36,10,31,22,8,7,17,9,3,1,0,0,0,0,3,10,29,20,17,9,19,24,23,13,1,12,8,7,11,17,12,3,3,3,0,0,0,2,3,23,18,5,7,15,10,38,11,17,4,6,6,6,11,4,4,3,2,0,0,0,1,0,0,31,18,8,13,7,6,21,9,14,12,9,6,4,7,5,3,1,1,0,0,0,0,0,3,36,21,8,7,3,1,3,11,7,10,4,5,5,6,4,3,1,2,0,0,0,0,2,7,44,15,30,10,6,2,6,5,5,3,2,0,5,8,1,0,6,1,2,0,1,0,0,14,24,36,32,5,5,1,4,2,7,2,3,7,4,2,9,0,0,0,0,2,0,0,0,18,23,53,50,18,19,10,8,5,9,1,0,1,1,2,2,3,0,0,0,1,2,4,0,29,12,18,44,25,25,17,3,8,5,2,4,4,2,6,1,0,3,5,1,0,0,0,0,29,2,8,43,56,23,36,8,7,9,9,4,1,0,0,1,2,1,2,2,1,0,0,1,21,210
2,4,9,16,16,0,4,2,2,2,0,0,0,0,0,2,0,0,2,0,0,4,0,0,4,7,7,4,9,14,4,0,4,2,4,0,4,0,2,2,0,0,0,0,0,0,0,0,11,4,7,21,0,9,4,9,4,0,4,7,0,0,0,4,0,4,4,0,4,2,4,0,7,14,23,19,30,50,30,26,100,30,50,30,21,21,30,40,2,14,14,2,11,11,7,0,7,30,50,30,57,42,28,16,14,9,19,16,16,21,26,47,21,9,19,16,23,21,9,2,11,30,30,7,54,30,9,30,7,11,11,4,19,19,9,14,23,7,0,0,14,14,19,0,9,14,23,21,21,4,7,16,11,11,7,14,19,0,11,11,11,0,2,0,0,4,2,0,16,14,16,16,14,19,4,4,9,2,7,11,14,11,9,2,0,0,0,0,0,0,7,0,16,14,26,9,14,9,16,9,7,2,4,7,4,9,7,0,0,0,0,0,0,0,0,0,30,19,21,16,16,0,7,7,7,4,4,4,2,2,7,4,2,0,0,0,0,0,0,0,26,38,21,11,7,4,4,9,14,11,2,0,2,7,2,7,0,0,0,0,4,0,0,0,38,38,16,2,9,4,14,14,11,2,0,0,4,4,2,0,4,7,0,0,0,0,0,4,26,47,42,7,7,7,14,9,9,0,4,9,4,4,4,2,0,0,0,2,2,4,2,9,4,26,54,28,9,14,19,16,26,7,4,0,2,2,7,2,0,0,2,7,4,9,0,11,16,2,16,52,33,21,19,28,9,7,11,2,4,4,2,2,2,4,4,7,0,0,0,16,14,9,9,11,19,19,21,23,19,9,11,2,7,4,9,4,4,7,0,2,0,0,0,19,210
2,4,4,10,12,0,4,0,4,0,0,2,4,4,2,2,0,0,0,0,0,2,0,0,4,8,4,18,22,10,4,0,6,6,4,2,2,2,0,0,0,0,0,2,0,8,0,0,12,29,56,27,27,35,37,12,8,0,0,4,4,4,2,4,8,16,18,4,22,37,18,6,58,54,54,47,58,45,27,6,18,2,4,4,12,18,4,4,6,22,14,6,12,72,100,10,14,10,12,12,12,12,14,6,2,4,2,2,4,4,12,4,4,4,6,4,8,35,14,6,16,10,6,8,29,10,6,22,4,8,8,4,4,6,12,6,10,0,2,0,2,14,20,0,33,18,18,4,4,6,0,0,0,0,0,4,4,4,0,6,0,0,0,0,0,2,2,2,20,41,25,14,18,10,0,0,0,0,2,0,0,0,2,2,0,0,2,0,0,2,8,2,22,25,37,12,8,2,20,0,4,4,4,4,0,2,2,2,2,2,0,0,0,4,6,0,16,29,27,31,4,8,4,0,4,0,0,0,0,6,10,0,6,0,2,0,0,2,2,0,8,47,50,25,14,8,2,4,4,4,2,0,6,0,0,0,2,2,0,0,0,0,2,0,14,50,79,6,8,10,0,6,2,2,0,2,8,0,0,4,4,0,4,0,0,0,0,0,16,29,41,12,6,4,8,8,8,6,2,4,6,0,2,4,0,0,0,0,0,4,2,2,16,16,18,20,16,6,6,8,6,4,4,4,0,4,0,0,0,0,0,0,2,2,0,0,6,2,0,14,20,4,0,6,8,4,2,2,2,0,0,2,2,8,0,0,0,0,0,0,4,0,0,0,4,6,4,2,4,2,2,0,2,0,0,2,2,2,0,0,0,0,0,0,210
89,38,25,10,7,2,28,20,23,15,23,25,33,23,10,0,20,0,5,0,0,0,0,0,79,20,43,28,51,7,7,15,56,30,15,17,12,25,10,5,5,17,30,5,0,2,2,2,51,15,17,30,53,46,100,69,48,64,7,20,17,33,30,10,15,28,17,17,2,0,0,0,61,10,7,53,89,61,58,79,17,15,28,25,2,10,15,17,46,23,23,15,10,10,5,0,41,15,25,43,41,30,35,38,35,28,20,7,0,5,20,20,12,15,5,0,5,5,5,0,82,46,10,43,17,10,15,17,12,7,20,10,7,17,5,5,2,2,2,0,2,7,0,0,84,30,33,20,12,10,2,7,7,0,5,7,12,23,5,2,5,5,2,0,0,0,0,2,74,10,38,10,7,5,0,0,7,2,0,0,0,2,0,7,2,0,2,0,2,0,0,0,64,66,43,20,12,17,2,0,2,7,0,5,0,2,0,5,2,0,0,0,0,0,0,0,58,30,33,46,10,5,0,0,7,2,5,0,5,7,0,12,0,5,0,0,5,2,0,2,35,33,43,53,35,10,0,5,7,12,2,0,0,0,0,2,0,0,0,0,2,0,0,0,17,15,30,56,23,5,2,2,5,5,7,0,5,5,0,0,2,0,0,0,0,0,2,2,0,23,12,30,33,20,12,7,10,10,12,7,0,5,2,0,0,0,0,0,0,2,12,2,17,7,25,12,25,30,5,10,7,7,0,5,2,2,2,2,0,0,46,0,10,7,0,0,12,20,7,7,10,15,12,12,2,7,7,7,2,2,5,0,5,7,0,0,17,0,2,0,46,20,25,7,12,7,20,15,15,2,15,12,2,2,5,0,2,0,0,2,2,0,0,0,210
24,25,12,13,5,10,17,25,7,10,15,21,15,14,8,3,20,4,13,3,3,11,5,8,45,20,21,9,22,19,16,14,27,15,5,10,15,10,5,2,19,12,11,6,5,2,8,10,34,26,23,15,18,30,19,25,27,18,10,26,21,24,21,9,11,26,9,7,7,2,5,1,30,17,11,14,29,40,24,52,41,29,45,73,55,36,72,31,61,29,12,5,10,7,7,1,16,10,11,10,36,46,34,40,42,43,66,80,100,75,90,88,50,25,11,5,9,0,5,11,30,18,5,35,35,43,8,49,40,32,62,60,55,62,55,26,20,20,15,5,7,4,5,8,40,15,30,42,24,18,31,34,27,34,20,29,35,60,45,21,34,26,10,17,7,7,11,10,30,23,37,11,14,7,16,11,36,27,19,10,22,25,22,35,22,5,11,4,3,10,5,9,37,40,35,11,17,14,25,22,14,24,15,13,20,7,28,26,14,7,8,3,4,3,5,3,24,29,25,24,18,13,20,21,22,15,20,18,13,19,21,18,12,6,5,7,10,10,6,2,35,40,25,26,20,9,5,19,22,33,28,13,10,20,20,10,13,8,12,10,4,5,4,4,33,25,20,33,15,9,5,10,13,10,10,5,15,11,5,15,7,0,4,3,4,7,6,5,34,27,31,34,21,9,10,15,25,9,15,7,10,12,5,5,10,5,5,10,13,10,10,6,30,32,49,25,26,19,10,14,9,21,4,10,10,13,8,10,2,10,20,14,11,14,5,5,29,25,36,44,55,21,25,19,15,11,10,10,8,8,5,2,18,6,5,10,10,4,4,6,24,15,29,42,72,44,20,19,20,23,24,14,9,6,8,8,15,10,17,6,2,8,1,7,210
